epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1345,1.70526,3.62253,1.60314,0.3698,0.32889,0.25732,0.12426,1.72009,3.98712,1.52762,0.00042,0.00042,0.00042
2,41.517,1.50335,2.13319,1.3921,0.50296,0.18889,0.22726,0.12051,1.5442,18.2134,1.59056,0.00077486,0.00077486,0.00077486
3,50.7339,1.60283,2.06771,1.4687,0.14688,0.34,0.11896,0.04329,1.92405,13.4843,1.90219,0.0010426,0.0010426,0.0010426
4,63.0032,1.62199,1.96092,1.49979,0.17026,0.22434,0.15673,0.07097,2.00285,10.4442,2.03982,0.00122322,0.00122322,0.00122322
5,75.3894,1.70579,1.95855,1.55418,0.27261,0.30889,0.20831,0.09769,1.81356,7.27788,1.86093,0.001208,0.001208,0.001208
6,84.3737,1.58442,1.80767,1.49068,0.42936,0.35781,0.30871,0.15745,1.66249,3.16114,1.63077,0.00101,0.00101,0.00101
7,96.8455,1.56403,1.70182,1.44388,0.48273,0.41556,0.3804,0.19356,1.67862,1.95296,1.53958,0.000812,0.000812,0.000812
8,105.818,1.49429,1.59574,1.44599,0.46643,0.38222,0.34764,0.19727,1.42143,2.19632,1.40792,0.000614,0.000614,0.000614
9,114.933,1.40253,1.50737,1.3605,0.60087,0.45556,0.48543,0.28299,1.45146,1.64183,1.41168,0.000416,0.000416,0.000416
10,123.906,1.29635,1.3553,1.27441,0.63243,0.53333,0.55424,0.33909,1.33226,1.50154,1.33287,0.000218,0.000218,0.000218
