iteration,model_path,percentage_over_90,avg_iou,avg_confidence
1,iteration_1\best_iter_1.pt,70.0,0.8268506675958633,0.7851948261260986
2,iteration_2\best_iter_2.pt,55.00000000000001,0.7962316676974297,0.8171971321105957
3,iteration_3\best_iter_3.pt,55.00000000000001,0.8074223481118679,0.8244073867797852
