epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2692,0.83756,0.63048,1.01312,0.77035,0.56889,0.6375,0.42273,1.21062,1.17324,1.29806,0.00044,0.00044,0.00044
2,31.4339,0.85281,0.62803,1.01165,0.70423,0.53556,0.59101,0.37352,1.38602,1.40259,1.39165,0.00088218,0.00088218,0.00088218
3,41.0299,0.91234,0.69487,1.03597,0.667,0.54,0.56733,0.36997,1.35765,1.36964,1.40913,0.00130614,0.00130614,0.00130614
4,53.2326,0.95414,0.761,1.05894,0.70089,0.59363,0.60574,0.38497,1.29147,1.45536,1.38978,0.00171189,0.00171189,0.00171189
5,64.7646,1.00713,0.84067,1.08657,0.73667,0.57111,0.63075,0.4246,1.23169,1.29675,1.26174,0.0018416,0.0018416,0.0018416
6,74.1973,1.00399,0.83735,1.07865,0.6916,0.51556,0.57152,0.36063,1.41392,1.45638,1.38574,0.001802,0.001802,0.001802
7,83.4424,1.04036,0.85634,1.09414,0.76144,0.50444,0.60326,0.39022,1.29014,1.31171,1.3276,0.0017624,0.0017624,0.0017624
8,92.7972,1.01688,0.83915,1.08862,0.71467,0.51556,0.58399,0.36431,1.40099,1.41647,1.39306,0.0017228,0.0017228,0.0017228
9,105.806,1.06376,0.86785,1.10098,0.65089,0.38118,0.43807,0.26176,1.51456,1.7688,1.49338,0.0016832,0.0016832,0.0016832
10,117.132,1.05292,0.87492,1.11351,0.6864,0.48,0.48924,0.3081,1.52461,1.66602,1.48039,0.0016436,0.0016436,0.0016436
11,126.466,1.03376,0.87868,1.09422,0.6655,0.53333,0.57287,0.35418,1.41027,1.40891,1.38713,0.001604,0.001604,0.001604
12,135.956,1.01294,0.80812,1.07618,0.69248,0.50667,0.56351,0.3597,1.35228,1.35937,1.36246,0.0015644,0.0015644,0.0015644
13,151.148,0.94803,0.7882,1.05491,0.65864,0.56597,0.5834,0.37359,1.32835,1.34598,1.37114,0.0015248,0.0015248,0.0015248
14,160.549,0.99431,0.82516,1.08244,0.72347,0.56444,0.61581,0.41425,1.21783,1.21745,1.28628,0.0014852,0.0014852,0.0014852
15,170.044,0.96105,0.77748,1.06442,0.69729,0.55556,0.60753,0.39122,1.27998,1.29604,1.33146,0.0014456,0.0014456,0.0014456
16,179.315,1.03612,0.79783,1.08385,0.73893,0.50319,0.55345,0.34258,1.37483,1.39411,1.35871,0.001406,0.001406,0.001406
17,188.586,0.95544,0.77946,1.06903,0.658,0.56889,0.58058,0.38171,1.27256,1.37743,1.32568,0.0013664,0.0013664,0.0013664
18,197.873,0.98242,0.79341,1.06994,0.66319,0.54,0.57367,0.36288,1.34771,1.35765,1.35763,0.0013268,0.0013268,0.0013268
19,207.096,0.92019,0.74567,1.03408,0.74076,0.53111,0.61011,0.3863,1.29954,1.25367,1.33084,0.0012872,0.0012872,0.0012872
20,216.983,0.93944,0.75539,1.041,0.66094,0.54667,0.58529,0.38501,1.26414,1.35322,1.29204,0.0012476,0.0012476,0.0012476
21,230.301,0.97266,0.74529,1.06415,0.71745,0.53111,0.58924,0.37726,1.3188,1.29449,1.34302,0.001208,0.001208,0.001208
22,239.592,0.91254,0.7082,1.04409,0.78674,0.55746,0.64319,0.42951,1.24272,1.18787,1.28911,0.0011684,0.0011684,0.0011684
23,253.468,0.94673,0.74484,1.05648,0.73859,0.54667,0.60493,0.40496,1.27613,1.20713,1.31971,0.0011288,0.0011288,0.0011288
24,262.867,0.91459,0.71853,1.02758,0.69645,0.55064,0.59098,0.39034,1.25576,1.32755,1.30703,0.0010892,0.0010892,0.0010892
25,278.624,0.89832,0.69377,1.04199,0.75434,0.58,0.6453,0.4338,1.21786,1.22403,1.27215,0.0010496,0.0010496,0.0010496
26,287.81,0.94714,0.70087,1.04731,0.75768,0.52222,0.61442,0.41211,1.24576,1.24719,1.27986,0.00101,0.00101,0.00101
27,297.134,0.87873,0.67804,1.014,0.6896,0.59333,0.62993,0.41614,1.23026,1.20142,1.27938,0.0009704,0.0009704,0.0009704
28,306.545,0.87381,0.66556,1.00234,0.7408,0.57778,0.63362,0.40471,1.26236,1.27377,1.31452,0.0009308,0.0009308,0.0009308
29,321.329,0.8719,0.65094,1.00399,0.71626,0.59333,0.63854,0.42458,1.24945,1.18963,1.30298,0.0008912,0.0008912,0.0008912
30,331.167,0.88291,0.63656,1.01461,0.765,0.60667,0.65159,0.43904,1.18188,1.18165,1.25878,0.0008516,0.0008516,0.0008516
31,340.473,0.82117,0.62488,1.00036,0.77622,0.57556,0.65755,0.45335,1.17695,1.12131,1.23888,0.000812,0.000812,0.000812
32,349.804,0.84889,0.64525,1.01184,0.76121,0.56667,0.6344,0.43362,1.19714,1.18639,1.2561,0.0007724,0.0007724,0.0007724
33,361.887,0.80816,0.6218,0.98819,0.75763,0.58444,0.65171,0.44898,1.17286,1.1627,1.27185,0.0007328,0.0007328,0.0007328
34,371.172,0.85917,0.64305,1.01428,0.75187,0.58444,0.64696,0.43196,1.20666,1.17257,1.26913,0.0006932,0.0006932,0.0006932
35,380.481,0.84301,0.6282,1.00646,0.78669,0.59111,0.65438,0.44503,1.15432,1.14471,1.23771,0.0006536,0.0006536,0.0006536
36,389.921,0.80823,0.58363,0.98202,0.7801,0.59126,0.64286,0.43972,1.18938,1.18743,1.25725,0.000614,0.000614,0.000614
37,402.932,0.88672,0.63745,0.99642,0.78351,0.57103,0.64934,0.45639,1.17135,1.14255,1.26885,0.0005744,0.0005744,0.0005744
38,412.219,0.82789,0.59006,0.99234,0.77391,0.58667,0.65099,0.45699,1.14347,1.11388,1.2188,0.0005348,0.0005348,0.0005348
39,421.608,0.80015,0.56413,0.97847,0.78797,0.56222,0.65584,0.46173,1.10065,1.11646,1.19993,0.0004952,0.0004952,0.0004952
40,430.928,0.82426,0.56759,0.99489,0.79695,0.56444,0.65619,0.46265,1.11286,1.1417,1.19638,0.0004556,0.0004556,0.0004556
41,463.294,0.74093,0.55733,0.94113,0.75781,0.55333,0.62331,0.41739,1.22,1.24321,1.25226,0.000416,0.000416,0.000416
42,472.686,0.71879,0.51244,0.93016,0.81311,0.5801,0.66484,0.46672,1.12426,1.10082,1.22797,0.0003764,0.0003764,0.0003764
43,482.114,0.69601,0.48878,0.91707,0.79486,0.58551,0.6645,0.46166,1.15139,1.10962,1.25138,0.0003368,0.0003368,0.0003368
44,491.364,0.65909,0.45961,0.90672,0.7919,0.6,0.66216,0.46126,1.12854,1.12441,1.22276,0.0002972,0.0002972,0.0002972
45,501.699,0.69238,0.45988,0.91541,0.76086,0.61512,0.65358,0.45844,1.11633,1.09468,1.22801,0.0002576,0.0002576,0.0002576
